"ID","nwCongoID","tsID","SITE","CODE","FEAT","IND","VU","POTTERY","PROV","Xray","TYPE","BOX","FABRIC","SUBGRP","SurfSponges","NOTES","RIVER","GROUP","REFERENCE","labels"
1,"2732","","Pikunda","PIK","87/1","2","","Pikunda-Munda (?)","","","R","","1","1a","xx","","Sangha","A","","pik|1"
2,"477","","Pikunda","PIK","87/1","5","","Pikunda-Munda","","","R","","1","1b","x","","Sangha","A","","pik|2"
3,"475","","Pikunda","PIK","87/1","1","","Pikunda-Munda","","","W","","1","1b","x","","Sangha","A","ID : PIK 87/1 1","pik|3"
4,"2731","","Pikunda","PIK","87/1","-1:84","","Pikunda-Munda","","","W","","1","1a","x","","Sangha","A","ID : PIK 87/1 -1:84","pik|4"
5,"514","","Pikunda","PIK","87/1","-10:8","","Pikunda-Munda","","","W","","4","4c/2a (?)","xx","","Sangha","A","","pik|5"
6,"519","","Pikunda","PIK","87/1","-11:3","","Pikunda-Munda","","","W","","1","1b","x","","Sangha","A","","pik|6"
7,"536","","Pikunda","PIK","87/1","-13:1","","Pikunda-Munda","","","R","","1","1d","xx","","Sangha","A","","pik|7"
8,"2786","","Pikunda","PIK","87/1","-3:127","","Pikunda-Munda","","","W","","1","1b","x","","Sangha","A","","pik|8"
9,"2730","","Pikunda","PIK","87/1","-3:145","","Pikunda-Munda","","","W","","1","1e","xx","","Sangha","A","","pik|9"
10,"2784","","Pikunda","PIK","87/1","-4:18","","Pikunda-Munda","","","W","","1","1b","x","","Sangha","A","","pik|10"
11,"596","","Pikunda","PIK","87/1","-4:20","12","Pikunda-Munda","","","W","","1","1e","x","","Sangha","A","","pik|11"
12,"597","","Pikunda","PIK","87/1","-4:21","","Pikunda-Munda","","","W","","1","1b","x","","Sangha","A","","pik|12"
13,"636","","Pikunda","PIK","87/1","-4:7","19","Pikunda-Munda","","","W","","1","1b","","","Sangha","A","","pik|13"
14,"651","","Pikunda","PIK","87/1","-5:7","","Pikunda-Munda","","","R","","1","1e","","","Sangha","A","","pik|14"
15,"652","","Pikunda","PIK","87/1","-5:8","","Pikunda-Munda","","","R","","1","1b","","","Sangha","A","","pik|15"
16,"2733","","Pikunda","PIK","87/1","-6:12","","Pikunda-Munda","","","W","","4","4c/1c (?)","","","Sangha","A","","pik|16"
17,"639","4","Pikunda","PIK","87/1","-5:1 -6:10 -7:12 - 9:6","17","Pikunda-Munda","","","W","","2","2a/1d (?)","x","","Sangha","A","Seidensticker 2021: 427 Pl. 46.21","pik#4"
18,"664","","Pikunda","PIK","87/1","-7:3","","Pikunda-Munda","","","W","","1","1c","","","Sangha","A","","pik|18"
19,"666","","Pikunda","PIK","87/1","-7:5-6","21","Pikunda-Munda","","","W","","1","1b","","","Sangha","A","","pik|19"
20,"670","","Pikunda","PIK","87/1","-7:9","","Pikunda-Munda","","","R","","2","2a/1e (?)","","","Sangha","A","","pik|20"
21,"544","","Pikunda","PIK","87/1","-2:114 -7:8","15","Pikunda-Munda","","","R","","2","2a/1d (?)","","","Sangha","A","","pik|21"
22,"672","","Pikunda","PIK","87/1","-8:10-11","18","Pikunda-Munda","","","R","","2","2a/1d (?)","","","Sangha","A","","pik|22"
23,"678","","Pikunda","PIK","87/1","-8:3","","Pikunda-Munda","","","W","","1","1b","","","Sangha","A","","pik|23"
24,"687","","Pikunda","PIK","87/1","-9:10","","Pikunda-Munda","","","R","","1","1b","","","Sangha","A","","pik|24"
25,"689","","Pikunda","PIK","87/1","-9:12","","Pikunda-Munda","","","W","","1","1d","","","Sangha","A","","pik|25"
26,"691","","Pikunda","PIK","87/1","-9:3","","Pikunda-Munda","","","R","","2","2a/1d (?)","","","Sangha","A","ID : PIK 87/1 -9:3","pik|26"
27,"693","54","Pikunda","PIK","87/1","-9:5","","Pikunda-Munda","","","W","","1","1b","x","","Sangha","A","Seidensticker 2021: 428 Pl. 47.6","pik#54"
28,"696","","Pikunda","PIK","87/1","-9:8","","Pikunda-Munda","","","R","","1","1c","","","Sangha","A","","pik|28"
29,"704","","Pikunda","PIK","87/1","/I-12:3","","Pikunda-Munda","","","R","","1","1b","","","Sangha","A","","pik|29"
30,"482","","Pikunda","PIK","87/1","11-12","16","Pikunda-Munda","","","W","","1","1d","","","Sangha","A","","pik|30"
31,"486","","Pikunda","PIK","87/1","-1:101 -2:67","23","Mandombe","","","W","","3","3b","","Banfwa-nfwa","Sangha","B","","pik|31"
32,"2835","","Pikunda","PIK","87/1","-1:130","","Mandombe","","","W","","3","3a","","","Sangha","B","","pik|32"
33,"2951","","Pikunda","PIK","87/1","-1:190","","Mandombe","","","R","","3","3b","","","Sangha","B","","pik|33"
34,"2811","","Pikunda","PIK","87/1","-1:191","3","Mandombe","","","R","","3","3b","","","Sangha","B","","pik|34"
35,"493","","Pikunda","PIK","87/1","-1:3","","Mandombe","","","W","","3","3a","","Rough slip","Sangha","B","","pik|35"
36,"496","11","Pikunda","PIK","87/1","-1:35","","Mandombe","","","W","","3","3b","o","Rough slip","Sangha","B","","pik#11"
37,"498","","Pikunda","PIK","87/1","-1:5","32","Mandombe","","","W","","3","3a","","Banfwa-nfwa","Sangha","B","","pik|37"
38,"499","","Pikunda","PIK","87/1","-1:52","","Mandombe","","","W","","3","3a","","Roulette!","Sangha","B","","pik|38"
39,"2819","","Pikunda","PIK","87/1","-2:101","","Mandombe","","","R","","3","3b","","","Sangha","B","","pik|39"
40,"2809","10","Pikunda","PIK","87/1","-2:123 -3:8","","Mandombe","","","R","","3","3c","o","","Sangha","B","","pik#10"
41,"2895","","Pikunda","PIK","87/1","-2:156","","Mandombe","","","B","","3","3b","","","Sangha","B","","pik|41"
42,"2812","","Pikunda","PIK","87/1","-2:16 -3:17","28","Mandombe","","","W","","3","3b","","Roulette!","Sangha","B","","pik|42"
43,"","","Pikunda","PIK","87/1","-2:201","","Mandombe","","","W","","3","3a","","Banfwa-nfwa","Sangha","B","","pik|43"
44,"2749","","Pikunda","PIK","87/1","-2:203","","Mandombe","","","W","","3","3b","","Rough slip; 2749 = PK /1d","Sangha","B","","pik|44"
45,"2830","","Pikunda","PIK","87/1","-2:23,53","37","Mandombe","","","W","","3","3a","","","Sangha","B","","pik|45"
46,"564","","Pikunda","PIK","87/1","-2:3","4","Mandombe","","","W","","3","3b","","","Sangha","B","","pik|46"
47,"","","Pikunda","PIK","87/1","-2:68","","Mandombe","","","W","","3","3a","","Banfwa-nfwa","Sangha","B","","pik|47"
48,"2816","","Pikunda","PIK","87/1","-3:137, 146","34","Mandombe","","","W","","5","5a","","","Sangha","B","","pik|48"
49,"583","","Pikunda","PIK","87/1","-3:163, 166","27","Mandombe","","","R","","3","3c/3b (?)","","Banfwa-nfwa","Sangha","B","","pik|49"
50,"2887","","Pikunda","PIK","87/1","-3:3","","Mandombe","","","W","","3","3a","","","Sangha","B","","pik|50"
51,"2836","","Pikunda","PIK","87/1","-3:4","","Mandombe","","","W","","3","3a","","","Sangha","B","","pik|51"
52,"2901","","Pikunda","PIK","87/1","-3:?","","Mandombe","","","W","","3","3b","","Applique, reddish","Sangha","B","","pik|52"
53,"2912","","Pikunda","PIK","87/1","-3:52","","Mandombe","","","W","","3","3b","","Rough slip","Sangha","B","","pik|53"
54,"2824","","Pikunda","PIK","87/1","-3:58","","Mandombe","","","R","","3","3a","","","Sangha","B","","pik|54"
55,"2828","","Pikunda","PIK","87/1","-3:59","","Mandombe","","","R","","3","3a","","","Sangha","B","","pik|55"
56,"588","","Pikunda","PIK","87/1","-4:10","","Mandombe","","","W","","5","5b","","Rough slip","Sangha","B","","pik|56"
57,"618","","Pikunda","PIK","87/1","-4:5","","Mandombe","","","W","","3","3a","","","Sangha","B","ID : PIK 87/1 -4:5","pik|57"
58,"620","","Pikunda","PIK","87/1","-4:51","","Mandombe","","","W","","3","3c","","Rough slip; 620 = PKM (?) / 3 (?)","Sangha","B","ID : PIK 87/1 -4:51","pik|58"
78,"1519","17","Munda","MUN","87/1-0-2","-6:1","1","Ebambe","","","W","","1","1c","x","","Likwala-aux-Herbes","","","mun#17"
79,"333","3","Munda","MUN","87/2-1-1","-2:2","7","Pikunda-Munda","","x","W","","1","1b","xx","","Likwala-aux-Herbes","","","mun#3"
80,"337","2","Munda","MUN","87/2-1-1","-4:2","3","Pikunda-Munda","","x","W","","1","1b","xx","","Likwala-aux-Herbes","","","mun#2"
81,"346","","Munda","MUN","87/2-1-1","-7:1","6","Pikunda-Munda","","","R","","1","1a","xx","","Likwala-aux-Herbes","","","mun|81"
88,"526","53","Pikunda","PIK","87/1","-12:1","","Lusako","","","R","","1","1d","xx","","Sangha","","Seidensticker 2021: 426 Pl. 45.16","pik#53"
89,"2825","55","Pikunda","PIK","87/1","-2:70","","Ebambe","","","W","","1","1c","x","","Sangha","","","pik#55"
90,"671","5","Pikunda","PIK","87/1","-8:1","","Ngbanja","","","W","","4","4a","o","","Sangha","","Seidensticker 2021: 428 Pl. 47.20","pik#5"
91,"677","56","Pikunda","PIK","87/1","-8:2","","Ngbanja (?)","","","W","","4","4a","o","","Sangha","","Seidensticker 2021: 428 Pl. 47.21","pik#56"
92,"695","6","Pikunda","PIK","87/1","-9:7","","Ngbanja (?)","","","W","","4","4c","o","","Sangha","","Seidensticker 2021: 428 Pl. 47.19","pik#6"
93,"822","9","Pikunda","PIK","87/2","-6:77","","indet","","","B","","3","3a","o","Inside red fine slip!","Sangha","","","pik#9"
105,"584","","Pikunda","PIK","87/1","-2:119","","Mandombe","","","","","","","","","Sangha","","","pik|105"
106,"564","","Pikunda","PIK","87/1","-2:3 - 3:7","","Mandombe","","","","","","","","","Sangha","","","pik|106"
109,"516","","Pikunda","PIK","87/1","-10:7 -11:1 /I-11:4 /I-12:2","","Pikunda-Munda","","","","","","","","","Sangha","","","pik|109"
112,"682","","Pikunda","PIK","87/1","-8:1 /I-9:1","","Pikunda-Munda","","x","vessel","","1","1a","","","Sangha","","","pik|112"
113,"345","104","Munda","MUN","87/2-1-1","-5:2","2","Pikunda-Munda","","x","vessel","","1","","","","Likwala-aux-Herbes","","","mun#104"
114,"353","101","Munda","MUN","87/2-1-3","7","2","Pikunda-Munda","","x","vessel","","","","","","Likwala-aux-Herbes","","ID 101: MUN 87/2-1-3 7","mun#101"
115,"357","","Munda","MUN","87/2-1-3","10","8","Pikunda-Munda","","x","vessel","","","","xx","","Likwala-aux-Herbes","","ID : MUN 87/2-1-3 10","mun|115"
116,"3357","","Munda","MUN","87/1-0-2","-1:13","","Ebambe","","","","","1","","","","Likwala-aux-Herbes","","","mun|116"
117,"329","108","Munda","MUN","87/1-0-2","-6:2","2","Ebambe","","x","vessel","","1","","","","Likwala-aux-Herbes","","","mun#108"
149,"1802","","Pikunda","PIK","87/501","1","4","modern","x","x","vessel","Z10/1","","","","","Sangha","","","pik|149"
150,"1801","","Pikunda","PIK","87/501","2","3","modern","x","x","vessel","Z10/1","","","","","Sangha","","","pik|150"
151,"1793","","Pikunda","PIK","87/501","3","2","modern","x","x","vessel","Z10/2","","","","","Sangha","","","pik|151"
152,"1791","57","Pikunda","PIK","87/501","4","1","modern","x","x","vessel","Z10/2","","","o","","Sangha","","","pik#57"
153,"1803","","Pikunda","PIK","87/501","5","5","modern","x","x","vessel","Z10/1","","","","","Sangha","","","pik|153"
167,"","47","Wafanya","WAF","83/16","-2:1","","Monkoto","","","W","","","","x","","Luilaka","","Wotzka 1995: 504 Pl. 70.10","waf#47"
168,"","48","Wafanya","WAF","83/16","-2:3","","Bekongo","","","W","","","","(x)","","Luilaka","","Wotzka 1995: 503 Pl. 69.6","waf#48"
169,"","96","Wafanya","WAF","83/16","-5:33","","Bekongo","","","W","","","","","","Luilaka","","Wotzka 1995: 503 Pl. 69.5","waf#96"
170,"","49","Wafanya","WAF","83/16","-7-1:2","","Longa","","","R","","","","(x)","","Luilaka","","Wotzka 1995: 503 Pl. 69.9","waf#49"
171,"","50","Monkoto","MON","83/101","1","","Monkoto","","","R","","","","(x)","","Luilaka","","Wotzka 1995: 506 Pl. 72.5","mon#50"
172,"","51","Monkoto","MON","83/101","3","","Monkoto","","","B","","","","(x)","","Luilaka","","Wotzka 1995: 506 Pl. 72.6","mon#51"
173,"","52","Monkoto","MON","83/101","4","","indet","","","B","","","","o","","Luilaka","","Wotzka 1995: 505 Pl. 71.6","mon#52"
175,"","42","Salonga","SNP","03-4","1","","indet","","","W","","","","","30-40 cm","Luilaka","","","snp#42"
176,"","43","Salonga","SNP","01-7","1","","Bokuma (?)","","","B","","","","xx","60-70 cm","Luilaka","","","snp#43"
177,"","44","Salonga","SNP","03-7","1","","indet","","","R","","","","o","60-70 cm","Luilaka","","","snp#44"
178,"","45","Salonga","SNP","03-4","4","","indet","","","W","","","","o","30-40 cm","Luilaka","","","snp#45"
179,"","46","Salonga","SNP","03-4","5","","indet","","","W","","","","o","30-40 cm","Luilaka","","","snp#46"
220,"2699","99","Pikunda","PIK","87/2","-1:40","","Ebambe","","","W","","","","","","Sangha","","Seidensticker 2021: 430 Pl. 49.10","pik#99"
221,"803","","Pikunda","PIK","87/2","-1:44","","modern","","","W","","","","o","cf. modern PIK potter","Sangha","","","pik|221"
222,"813","98","Pikunda","PIK","87/2","-4:73","","Pikunda-Munda","","","W","","","","","","Sangha","","Seidensticker 2021: 429 Pl. 48.25","pik#98"
223,"5022","97","Pikunda","PIK","87/2","-6:52","","modern","","","R","","","","","cf. modern PIK potter","Sangha","","Seidensticker 2021: 430 Pl. 49.5","pik#97"
224,"382","103","Munda","MUN","87/2-1-3","-1:2","15","Pikunda-Munda","","x","vessel","","","","","","Likwala-aux-Herbes","","","mun#103"
225,"406","100","Munda","MUN","87/2-1-3","-4:4","1","Pikunda-Munda","","x","vessel","","","","","","Likwala-aux-Herbes","","","mun#100"
226,"413","","Munda","MUN","87/2-1-3","-6:15","3","Pikunda-Munda","","x","vessel","","","","xx","","Likwala-aux-Herbes","","","mun|226"
227,"370","","Munda","MUN","87/2-1-3","-1:1b","12","Pikunda-Munda","","x","vessel","","","","x","","Likwala-aux-Herbes","","","mun|227"
228,"423","","Munda","MUN","87/2-1-3","13a","4","Pikunda-Munda","","x","vessel","","","","xx","","Likwala-aux-Herbes","","","mun|228"
229,"390","102","Munda","MUN","87/2-1-3","3","11","Pikunda-Munda","","x","vessel","","","","","","Likwala-aux-Herbes","","","mun#102"
230,"420","","Munda","MUN","87/2-1-3","-6:6","14","Pikunda-Munda","","x","vessel","","","","x","","Likwala-aux-Herbes","","","mun|230"
231,"410","","Munda","MUN","87/2-1-3","-5:12","9","Pikunda-Munda","","x","","","","","xx","","Likwala-aux-Herbes","","","mun|231"
232,"354","","Munda","MUN","87/2-1-3","8","10","Pikunda-Munda","","x","","","","","xx","","Likwala-aux-Herbes","","","mun|232"
233,"356","","Munda","MUN","87/2-1-3","9","6","Pikunda-Munda","","x","","","","","","","Likwala-aux-Herbes","","","mun|233"
234,"333","","Munda","MUN","87/2-1-1","-4:4-21","8","Pikunda-Munda","","x","vessel","","1","","xx","","Likwala-aux-Herbes","","","mun|234"
235,"342","","Munda","MUN","87/2-1-1","-4:7","9","Pikunda-Munda","","x","","","1","","xx","","Likwala-aux-Herbes","","","mun|235"
236,"347","106","Munda","MUN","87/2-1-1","-8:1","4","Pikunda-Munda","","x","vessel","","1","","","","Likwala-aux-Herbes","","","mun#106"
237,"349","107","Munda","MUN","87/2-1-1","-8:3","5","Pikunda-Munda","","x","vessel-part","","1","","","","Likwala-aux-Herbes","","","mun#107"
238,"348","","Munda","MUN","87/2-1-1","-8:2","1","Pikunda-Munda","","x","","","1","","xx","","Likwala-aux-Herbes","","","mun|238"
239,"346","105","Munda","MUN","87/2-1-1","-7:2","6","Pikunda-Munda","","","B","","1","","","","Likwala-aux-Herbes","","","mun#105"
240,"3168","","Munda","MUN","87/2-1-1","-4:1","11","Pikunda-Munda","",""," ","","","","xx","","Likwala-aux-Herbes","","","mun|240"
241,"1873","109","Munda","MUN","87/1-0-2","-1:1","3","Ebambe","","x","vessel","","1","","","","Likwala-aux-Herbes","","","mun#109"
242,"1882","","Munda","MUN","87/1-0-2","-4:1","12","Ebambe","","","","","1","","x","","Likwala-aux-Herbes","","","mun|242"
243,"1879","","Munda","MUN","87/1-0-2","-3:3","10","Ebambe","","x","","","1","","x","","Likwala-aux-Herbes","","","mun|243"
244,"1874","","Munda","MUN","87/1-0-2","-1:2","4","Ebambe","","","","","1","","x","","Likwala-aux-Herbes","","","mun|244"
245,"1876","","Munda","MUN","87/1-0-2","-1:5; -2:1","6","Ebambe","","","","","1","","xx","","Likwala-aux-Herbes","","","mun|245"
246,"3447","","Munda","MUN","87/1-0-2","-5:1","22","Ebambe","","","","","1","","x","","Likwala-aux-Herbes","","","mun|246"
247,"1443","110","Munda","MUN","87/1-0-2","-4:2","19","Ebambe","","","vessel-part","","1","","","","Likwala-aux-Herbes","","","mun#110"
305,"","","Munda","MUN","87/1-0-2","-3:14 -4:69","","Ebambe","","","","","","","","","Likwala-aux-Herbes","","","mun|305"
306,"","","Munda","MUN","87/1-0-2","-3:6","","Ebambe","","","","","","","","","Likwala-aux-Herbes","","","mun|306"
307,"","","Munda","MUN","87/1-0-2","-4:70","","Ebambe","","","","","","","","","Likwala-aux-Herbes","","","mun|307"
308,"","","Munda","MUN","87/1-0-2","-5:6","","Ebambe","","","","","","","","","Likwala-aux-Herbes","","","mun|308"
309,"","","Munda","MUN","87/2-1-1","-2:1","","Pikunda-Munda","","","","","","","","","Likwala-aux-Herbes","","","mun|309"
310,"","","Munda","MUN","87/2-1-1","-2:3","","Pikunda-Munda","","","","","","","","","Likwala-aux-Herbes","","","mun|310"
311,"","","Munda","MUN","87/2-1-1","-4:11","","Pikunda-Munda","","","","","","","","","Likwala-aux-Herbes","","","mun|311"
312,"","","Munda","MUN","87/2-1-1","-5:5","","Pikunda-Munda","","","","","","","","","Likwala-aux-Herbes","","","mun|312"
315,"","","Pikunda","PIK","87/3","/I:1-2","","Ebambe","","","","","","","","","Sangha","","","pik|315"
316,"","","Pikunda","PIK","87/1","-1:72 -2:5","","Mandombe","","","","","","","","","Sangha","","","pik|316"
317,"","","Pikunda","PIK","87/1","-2:124","","Mandombe","","","","","","","","","Sangha","","","pik|317"
318,"","","Pikunda","PIK","87/1","-2:225","","Mandombe","","x","","","","","","","Sangha","","","pik|318"
319,"","","Pikunda","PIK","87/1","-3:9","","Mandombe","","x","","","","","","","Sangha","","","pik|319"
320,"","","Pikunda","PIK","87/1","-7:1 -8:4","","Pikunda-Munda","","x","","","","","","","Sangha","","","pik|320"
321,"","","Pikunda","PIK","87/2","-1:156","","indet","","","","","","","","","Sangha","","","pik|321"
322,"","","Pikunda","PIK","87/2","-1:327","","indet","","","","","","","","","Sangha","","","pik|322"
323,"","","Pikunda","PIK","87/2","-5:4","","indet","","","","","","","","","Sangha","","","pik|323"
324,"","","Pikunda","PIK","87/2","-5:11","","indet","","","","","","","","","Sangha","","","pik|324"
325,"","","Pikunda","PIK","87/2","-5:118","","indet","","","","","","","","","Sangha","","","pik|325"
345,"","","Munda","MUN","87/2-1-3","-1:1a","","Pikunda-Munda","","","","","","","","","Likwala-aux-Herbes","","","mun|345"
346,"","","Munda","MUN","87/1-0-1","1-4","","Pikunda-Munda (?)","","x","","","","","","","Likwala-aux-Herbes","","","mun|346"
347,"","","Munda","MUN","87/1-0-2","-3:1","","Ebambe","","x","","","","","","","Likwala-aux-Herbes","","","mun|347"
348,"","","Munda","MUN","87/1-0-2","-3:2","","Ebambe","","x","","","","","","","Likwala-aux-Herbes","","","mun|348"
349,"","","Munda","MUN","87/2-1-3","-5:18","","Pikunda-Munda","","x","","","","","","","Likwala-aux-Herbes","","","mun|349"
350,"","","Munda","MUN","87/2-1-3","-4:11","","Pikunda-Munda","","x","","","","","","","Likwala-aux-Herbes","","","mun|350"
351,"","","Munda","MUN","87/2-1-3","-5:5","","Pikunda-Munda","","x","","","","","","","Likwala-aux-Herbes","","","mun|351"
352,"","","Munda","MUN","87/2-1-3","-6:1-2","","Pikunda-Munda","","x","","","","","","","Likwala-aux-Herbes","","","mun|352"
